SPEAKER,SENTENCE,DOMAINID,DOMAIN,CATEGORY,SPEAKERID,SENTENCEID,MAIN,SUB,QA,QACNCT,MQ,SQ,UA,SA,개체명,용어사전,지식베이스,
고객,생일 쿠폰도 쓰고 이 카드 적립도 되나요?,A,음식점,홀서빙음식점,1,121,중복할인문의,,Q,,생일 쿠폰도 쓰고 이 카드 적립도 되나요?,,,,,,,
고객,수프도 나오나요?,A,음식점,홀서빙음식점,1,122,수프제공문의,,Q,,수프도 나오나요?,,,,,,,
고객,수프 포함인가요?,A,음식점,홀서빙음식점,1,123,수프제공문의,,Q,,수프 포함인가요?,,,,,,,
고객,수프도 주시나요?,A,음식점,홀서빙음식점,1,124,수프제공문의,,Q,,수프도 주시나요?,,,,,,,
고객,수프는 안 나오나요?,A,음식점,홀서빙음식점,1,125,수프제공문의,,Q,,수프는 안 나오나요?,,,,,,,
고객,여기 수프도 따로 나오나요?,A,음식점,홀서빙음식점,1,126,수프제공문의,,Q,,여기 수프도 따로 나오나요?,,,,,,,
고객,쿠폰 사용하려면 어떻게 해야해요?,A,음식점,홀서빙음식점,1,127,쿠폰사용방법문의,,Q,,쿠폰 사용하려면 어떻게 해야해요?,,,,,,,
고객,쿠폰은 몇 개부터 사용 가능해요?,A,음식점,홀서빙음식점,1,128,쿠폰사용방법문의,,Q,,쿠폰은 몇 개부터 사용 가능해요?,,,,,,,
고객,파란색 쿠폰하고 하얀 색 쿠폰은 어떻게 달라요?,A,음식점,홀서빙음식점,1,129,쿠폰사용방법문의,,Q,,파란색 쿠폰하고 하얀 색 쿠폰은 어떻게 달라요?,,,,,,,
고객,쿠폰 여기에 찍어주세요,A,음식점,홀서빙음식점,1,130,적립요청,,Q,,쿠폰 여기에 찍어주세요,,,,,,,
고객,쿠폰 두 장에 하나씩 나눠서 찍어 주세요,A,음식점,홀서빙음식점,1,131,적립요청,,Q,,쿠폰 두 장에 하나씩 나눠서 찍어 주세요,,,,,,,
고객,여기에 적립 부탁드려요,A,음식점,홀서빙음식점,1,132,적립요청,,Q,,여기에 적립 부탁드려요,,,,,,,
고객,포인트 적립해주세요,A,음식점,홀서빙음식점,1,133,적립요청,,Q,,포인트 적립해주세요,,,,,,,
고객,지난번 것도 같이 적립해 주세요,A,음식점,홀서빙음식점,1,134,적립요청,,Q,,지난번 것도 같이 적립해 주세요,,,,,,,
고객,여기 좀 치워주세요,A,음식점,홀서빙음식점,1,135,테이블청소요청,,Q,,여기 좀 치워주세요,,,,,,,
고객,테이블이 너무 더러운데 한 번만 다시 닦아주세요,A,음식점,홀서빙음식점,1,136,테이블청소요청,,Q,,테이블이 너무 더러운데 한 번만 다시 닦아주세요,,,,,,,
고객,테이블 정리 좀 부탁드려요,A,음식점,홀서빙음식점,1,137,테이블청소요청,,Q,,테이블 정리 좀 부탁드려요,,,,,,,
고객,다시 한 번 더 닦아주셔야겠어요,A,음식점,홀서빙음식점,1,138,테이블청소요청,,Q,,다시 한 번 더 닦아주셔야겠어요,,,,,,,
고객,딱지 끊고 안해요?,A,음식점,홀서빙음식점,1,139,주차단속문의,,Q,,딱지 끊고 안해요?,,,,,,,
고객,평일에도 주차단속 하나요?,A,음식점,홀서빙음식점,1,140,주차단속문의,,Q,,평일에도 주차단속 하나요?,,,,,,,
고객,일요일에도 주차단속 하려나요?,A,음식점,홀서빙음식점,1,141,주차단속문의,,Q,,일요일에도 주차단속 하려나요?,,,,,,,
고객,주차단속도 해요?,A,음식점,홀서빙음식점,1,142,주차단속문의,,Q,,주차단속도 해요?,,,,,,,
고객,요새 이 앞에 차 세우면 단속하죠?,A,음식점,홀서빙음식점,1,143,주차단속문의,,Q,,요새 이 앞에 차 세우면 단속하죠?,,,,,,,
고객,화장실에서 냄새가 너무 나요,A,음식점,홀서빙음식점,1,144,화장실관련요청사항,,Q,,화장실에서 냄새가 너무 나요,,,,,,,
고객,화장실에 물이 안 내려가요,A,음식점,홀서빙음식점,1,145,화장실관련요청사항,,Q,,화장실에 물이 안 내려가요,,,,,,,
고객,에구 화장실 문이 안열려요,A,음식점,홀서빙음식점,1,146,화장실관련요청사항,,Q,,에구 화장실 문이 안열려요,,,,,,,
고객,주문지 좀 주세요,A,음식점,홀서빙음식점,1,147,주문지요청,,Q,,주문지 좀 주세요,,,,,,,
고객,주문지는 따로 없나요?,A,음식점,홀서빙음식점,1,148,주문지요청,,Q,,주문지는 따로 없나요?,,,,,,,
고객,주문지가 있어요?,A,음식점,홀서빙음식점,1,149,주문지요청,,Q,,주문지가 있어요?,,,,,,,
고객,주문하려는데 종이 좀 주시겠어요?,A,음식점,홀서빙음식점,1,150,주문지요청,,Q,,주문하려는데 종이 좀 주시겠어요?,,,,,,,
고객,주문지 함 봅시다,A,음식점,홀서빙음식점,1,151,주문지요청,,Q,,주문지 함 봅시다,,,,,,,
고객,블로그에 글 올리면 뭐 주시는 거예요?,A,음식점,홀서빙음식점,1,152,이벤트메뉴문의,,Q,,블로그에 글 올리면 뭐 주시는 거예요?,,,,,,,
고객,카카오톡 친구 추가하면 커피 한 잔 주시는거에요?,A,음식점,홀서빙음식점,1,153,이벤트메뉴문의,,Q,,카카오톡 친구 추가하면 커피 한 잔 주시는거에요?,,,,,,,
고객,인증샷 찍어서 카페에 올리기만 하면 10% 할인해준단 말이죠?,A,음식점,홀서빙음식점,1,154,이벤트메뉴문의,,Q,,인증샷 찍어서 카페에 올리기만 하면 10% 할인해준단 말이죠?,,,,,,,
고객,커플 이벤트 해당되는 메뉴들이 어떤 것들이죠?,A,음식점,홀서빙음식점,1,155,이벤트메뉴문의,,Q,,커플 이벤트 해당되는 메뉴들이 어떤 것들이죠?,,,,,,,
고객,디저트도 나와요?,A,음식점,홀서빙음식점,1,156,디저트메뉴문의,,Q,,디저트도 나와요?,,,,,,,
고객,디저트로 아이스크림 있어요?,A,음식점,홀서빙음식점,1,157,디저트메뉴문의,,Q,,디저트로 아이스크림 있어요?,,,,,,,
고객,안 맵게 해달라고 했는데 이거 너무 매운 거 같아요,A,음식점,홀서빙음식점,1,158,음식맛에대한컴플레인,,Q,,안 맵게 해달라고 했는데 이거 너무 매운 거 같아요,,,,,,,
고객,샐러드 소스가 뭔지 너무 시큼하고 쓴 맛이 나더라구요?,A,음식점,홀서빙음식점,1,159,음식맛에대한컴플레인,,Q,,샐러드 소스가 뭔지 너무 시큼하고 쓴 맛이 나더라구요?,,,,,,,
고객,이 맥주는 어디 브랜드예요?,A,음식점,홀서빙음식점,1,160,판매하는술종류/브랜드문의,,Q,,이 맥주는 어디 브랜드예요?,,,,,,,
고객,이 동네 소주는 무슨 소주예요?,A,음식점,홀서빙음식점,1,161,판매하는술종류/브랜드문의,,Q,,이 동네 소주는 무슨 소주예요?,,,,,,,
고객,배달하는데 시간은 얼마나 걸려요?,A,음식점,홀서빙음식점,1,162,배달시간문의,,Q,,배달하는데 시간은 얼마나 걸려요?,,,,,,,
고객,점심시간에 배달 주문하면 오래 걸리겠죠?,A,음식점,홀서빙음식점,1,163,배달시간문의,,Q,,점심시간에 배달 주문하면 오래 걸리겠죠?,,,,,,,
고객,배달 얼마나 밀렸어요?,A,음식점,홀서빙음식점,1,164,배달시간문의,,Q,,배달 얼마나 밀렸어요?,,,,,,,
고객,포장하면 가격이 달라질까요?,A,음식점,홀서빙음식점,1,165,홀/포장가격차이문의,,Q,,포장하면 가격이 달라질까요?,,,,,,,
고객,여기서 먹는 거랑 포장해가는 거랑 가격이 다른가요?,A,음식점,홀서빙음식점,1,166,홀/포장가격차이문의,,Q,,여기서 먹는 거랑 포장해가는 거랑 가격이 다른가요?,,,,,,,
고객,포장하면 가격이 어떻게 돼요?,A,음식점,홀서빙음식점,1,167,홀/포장가격차이문의,,Q,,포장하면 가격이 어떻게 돼요?,,,,,,,
고객,포장해가면 더 저렴한가요?,A,음식점,홀서빙음식점,1,168,홀/포장가격차이문의,,Q,,포장해가면 더 저렴한가요?,,,,,,,
고객,여기서 먹으면 포장보다 비싸죠?,A,음식점,홀서빙음식점,1,169,홀/포장가격차이문의,,Q,,여기서 먹으면 포장보다 비싸죠?,,,,,,,
고객,숟가락 젓가락도 챙겨주세요,A,음식점,홀서빙음식점,1,170,식사도구요구,,Q,,숟가락 젓가락도 챙겨주세요,,,,,,,
고객,포크 하나만 더 갖다 주세요,A,음식점,홀서빙음식점,1,171,식사도구요구,,Q,,포크 하나만 더 갖다 주세요,,,,,,,
고객,더는 종지 좀 넣어주세요,A,음식점,홀서빙음식점,1,172,식사도구요구,,Q,,더는 종지 좀 넣어주세요,,,,,,,
고객,젓가락만 넣어 주시면 되요,A,음식점,홀서빙음식점,1,173,식사도구요구,,Q,,젓가락만 넣어 주시면 되요,,,,,,,
고객,여기도 주차장이 있나요?,A,음식점,홀서빙음식점,1,174,주차장유무문의,,Q,,여기도 주차장이 있나요?,,,,,,,
고객,주차장이 별도로 있어요?,A,음식점,홀서빙음식점,1,175,주차장유무문의,,Q,,주차장이 별도로 있어요?,,,,,,,
고객,주차장은 따로 없죠?,A,음식점,홀서빙음식점,1,176,주차장유무문의,,Q,,주차장은 따로 없죠?,,,,,,,
고객,주차장은 없어요?,A,음식점,홀서빙음식점,1,177,주차장유무문의,,Q,,주차장은 없어요?,,,,,,,
고객,주차할 곳이 있나요?,A,음식점,홀서빙음식점,1,178,주차장유무문의,,Q,,주차할 곳이 있나요?,,,,,,,
고객,여기에 칼슘이 많이 들었어요?,A,음식점,홀서빙음식점,1,179,음식성분문의,,Q,,여기에 칼슘이 많이 들었어요?,,,,,,,
고객,오리고기에 이 기름은 지방이겠죠?,A,음식점,홀서빙음식점,1,180,음식성분문의,,Q,,오리고기에 이 기름은 지방이겠죠?,,,,,,,
고객,이런 거에는 비타민 좀 들었을까요?,A,음식점,홀서빙음식점,1,181,음식성분문의,,Q,,이런 거에는 비타민 좀 들었을까요?,,,,,,,
고객,미네랄이 풍부한 음식은 어떤 거에요?,A,음식점,홀서빙음식점,1,182,음식성분문의,,Q,,미네랄이 풍부한 음식은 어떤 거에요?,,,,,,,
고객,이 고등어에 무슨 성분이 많이 들어있다고 했죠?,A,음식점,홀서빙음식점,1,183,음식성분문의,,Q,,이 고등어에 무슨 성분이 많이 들어있다고 했죠?,,,,,,,
고객,많이 주문하면 가격 할인도 가능한가요?,A,음식점,홀서빙음식점,1,184,주문양에대한할인문의,,Q,,많이 주문하면 가격 할인도 가능한가요?,,,,,,,
고객,많이 주문하면 할인 해주시나요?,A,음식점,홀서빙음식점,1,185,주문양에대한할인문의,,Q,,많이 주문하면 할인 해주시나요?,,,,,,,
고객,많이 주문하면 가격을 좀 깍아주시나요?,A,음식점,홀서빙음식점,1,186,주문양에대한할인문의,,Q,,많이 주문하면 가격을 좀 깍아주시나요?,,,,,,,
고객,양을 조금만 주시고 가격을 좀 깎아주실 수 있나요?,A,음식점,홀서빙음식점,1,187,주문양에대한할인문의,,Q,,양을 조금만 주시고 가격을 좀 깎아주실 수 있나요?,,,,,,,
고객,말이 6인분이지 4인분 밖에 못먹는데 할인 좀 해줘요,A,음식점,홀서빙음식점,1,188,주문양에대한할인문의,,Q,,말이 6인분이지 4인분 밖에 못먹는데 할인 좀 해줘요,,,,,,,
고객,카드 결제 가능하죠?,A,음식점,홀서빙음식점,1,189,결제방법문의,,Q,,카드 결제 가능하죠?,,,,,,,
고객,일부만 카드결제도 가능하죠?,A,음식점,홀서빙음식점,1,190,결제방법문의,,Q,,일부만 카드결제도 가능하죠?,,,,,,,
고객,상호가 어떻게 돼요?,A,음식점,홀서빙음식점,1,191,매장상호문의,,Q,,상호가 어떻게 돼요?,,,,,,,
고객,매장 명이 뭔가요?,A,음식점,홀서빙음식점,1,192,매장상호문의,,Q,,매장 명이 뭔가요?,,,,,,,
고객,매장 이름이 어떻게 돼요?,A,음식점,홀서빙음식점,1,193,매장상호문의,,Q,,매장 이름이 어떻게 돼요?,,,,,,,
고객,매장 이름이 뭐예요?,A,음식점,홀서빙음식점,1,194,매장상호문의,,Q,,매장 이름이 뭐예요?,,,,,,,
고객,여기 상호명이 뭐예요?,A,음식점,홀서빙음식점,1,195,매장상호문의,,Q,,여기 상호명이 뭐예요?,,,,,,,
고객,배달 주문할 수 있는 메뉴들이 따로 있어요?,A,음식점,홀서빙음식점,1,196,배달주문문의,,Q,,배달 주문할 수 있는 메뉴들이 따로 있어요?,,,,,,,
고객,여기 배달 주문해도 되나요?,A,음식점,홀서빙음식점,1,197,배달주문문의,,Q,,여기 배달 주문해도 되나요?,,,,,,,
고객,주문한 거 얼마나 더 기다려야 해요?,A,음식점,홀서빙음식점,1,198,음식이늦게나올때,,Q,,주문한 거 얼마나 더 기다려야 해요?,,,,,,,
고객,아까부터 기다렸는데 우리꺼 언제 나와요?,A,음식점,홀서빙음식점,1,199,음식이늦게나올때,,Q,,아까부터 기다렸는데 우리꺼 언제 나와요?,,,,,,,
고객,요지 하나 주세요,A,음식점,홀서빙음식점,1,200,이쑤시개문의/요청,,Q,,요지 하나 주세요,,,,,,,
고객,이게 이쑤시개예요?,A,음식점,홀서빙음식점,1,201,이쑤시개문의/요청,,Q,,이게 이쑤시개예요?,,,,,,,
고객,이쑤시개 하나 주세요,A,음식점,홀서빙음식점,1,202,이쑤시개문의/요청,,Q,,이쑤시개 하나 주세요,,,,,,,
고객,이쑤시개 하나 써도 되죠?,A,음식점,홀서빙음식점,1,203,이쑤시개문의/요청,,Q,,이쑤시개 하나 써도 되죠?,,,,,,,
고객,이쑤시개가 안보이네요?,A,음식점,홀서빙음식점,1,204,이쑤시개문의/요청,,Q,,이쑤시개가 안보이네요?,,,,,,,
고객,가위 좀 주시겠어요?,A,음식점,홀서빙음식점,1,205,가위요청,,Q,,가위 좀 주시겠어요?,,,,,,,
고객,가위 하나만 주세요,A,음식점,홀서빙음식점,1,206,가위요청,,Q,,가위 하나만 주세요,,,,,,,
고객,가위 좀 주세요,A,음식점,홀서빙음식점,1,207,가위요청,,Q,,가위 좀 주세요,,,,,,,
고객,여기 가위 하나만 부탁드릴게요,A,음식점,홀서빙음식점,1,208,가위요청,,Q,,여기 가위 하나만 부탁드릴게요,,,,,,,
고객,가위가 필요해요,A,음식점,홀서빙음식점,1,209,가위요청,,Q,,가위가 필요해요,,,,,,,
고객,여기에 들어가는 해산물은 다 생물이에요? 냉동이에요?,A,음식점,홀서빙음식점,1,210,냉동인지생물인지문의,,Q,,여기에 들어가는 해산물은 다 생물이에요? 냉동이에요?,,,,,,,
고객,이 주꾸미는 냉동 쓰나요?,A,음식점,홀서빙음식점,1,211,냉동인지생물인지문의,,Q,,이 주꾸미는 냉동 쓰나요?,,,,,,,
고객,생일 이벤트도 있네요?,A,음식점,홀서빙음식점,1,212,이벤트문의,,Q,,생일 이벤트도 있네요?,,,,,,,
고객,이벤트 진행 중인 거 있나요?,A,음식점,홀서빙음식점,1,213,이벤트문의,,Q,,이벤트 진행 중인 거 있나요?,,,,,,,
고객,지금 이벤트 진행 중인거 맞죠?,A,음식점,홀서빙음식점,1,214,이벤트문의,,Q,,지금 이벤트 진행 중인거 맞죠?,,,,,,,
고객,다른 이벤트 또 뭐 있어요?,A,음식점,홀서빙음식점,1,215,이벤트문의,,Q,,다른 이벤트 또 뭐 있어요?,,,,,,,
고객,이벤트 따로 요청할 수 있어요?,A,음식점,홀서빙음식점,1,216,이벤트문의,,Q,,이벤트 따로 요청할 수 있어요?,,,,,,,
고객,이 카드로 다시 결제 해주세요,A,음식점,홀서빙음식점,1,217,재결제요청,,Q,,이 카드로 다시 결제 해주세요,,,,,,,
고객,카드 취소하고 현금으로 다시 계산할게요,A,음식점,홀서빙음식점,1,218,재결제요청,,Q,,카드 취소하고 현금으로 다시 계산할게요,,,,,,,
고객,현금 결제 취소하고 카드로 다시 부탁드릴게요,A,음식점,홀서빙음식점,1,219,재결제요청,,Q,,현금 결제 취소하고 카드로 다시 부탁드릴게요,,,,,,,
고객,삼성카드 말고 현대카드로 다시 결제 할게요,A,음식점,홀서빙음식점,1,220,재결제요청,,Q,,삼성카드 말고 현대카드로 다시 결제 할게요,,,,,,,
고객,문자가 안왔는데 다시 카드 긁어보세요,A,음식점,홀서빙음식점,1,221,재결제요청,,Q,,문자가 안왔는데 다시 카드 긁어보세요,,,,,,,
고객,밥 안에 벌레 같은 게 있어요,A,음식점,홀서빙음식점,1,222,이물질발견등음식위생지적,,Q,,밥 안에 벌레 같은 게 있어요,,,,,,,
고객,김치에서 쑤세미가 나왔어요,A,음식점,홀서빙음식점,1,223,이물질발견등음식위생지적,,Q,,김치에서 쑤세미가 나왔어요,,,,,,,
고객,이 빵에 곰팡이 핀 거 아니예요?,A,음식점,홀서빙음식점,1,224,이물질발견등음식위생지적,,Q,,이 빵에 곰팡이 핀 거 아니예요?,,,,,,,
고객,반찬 너무 맛있는데 좀 파시면 안 돼요?,A,음식점,홀서빙음식점,1,225,반찬판매문의,,Q,,반찬 너무 맛있는데 좀 파시면 안 돼요?,,,,,,,
고객,반찬만 별도로 구매 가능한가요?,A,음식점,홀서빙음식점,1,226,반찬판매문의,,Q,,반찬만 별도로 구매 가능한가요?,,,,,,,
고객,저 마늘장아찌 조금만 팔지 않겠어요?,A,음식점,홀서빙음식점,1,227,반찬판매문의,,Q,,저 마늘장아찌 조금만 팔지 않겠어요?,,,,,,,
고객,몇 명까지 가능해요?,A,음식점,홀서빙음식점,1,228,예약가능인원문의,,Q,,몇 명까지 가능해요?,,,,,,,
고객,몇 명까지 이용 할 수 있나요?,A,음식점,홀서빙음식점,1,229,예약가능인원문의,,Q,,몇 명까지 이용 할 수 있나요?,,,,,,,
고객,이용 가능한 인원이 몇 명이에요?,A,음식점,홀서빙음식점,1,230,예약가능인원문의,,Q,,이용 가능한 인원이 몇 명이에요?,,,,,,,
고객,예약 인원은 몇 명까지 가능할까요?,A,음식점,홀서빙음식점,1,231,예약가능인원문의,,Q,,예약 인원은 몇 명까지 가능할까요?,,,,,,,
고객,저 룸으로 예약하려면 몇 명까지 가능해요?,A,음식점,홀서빙음식점,1,232,예약가능인원문의,,Q,,저 룸으로 예약하려면 몇 명까지 가능해요?,,,,,,,
고객,밥만 조금 더 주실 수 있나요?,A,음식점,홀서빙음식점,1,233,밥요청,,Q,,밥만 조금 더 주실 수 있나요?,,,,,,,
고객,밥 하나 주세요,A,음식점,홀서빙음식점,1,234,밥요청,,Q,,밥 하나 주세요,,,,,,,
고객,밥 좀 주세요,A,음식점,홀서빙음식점,1,235,밥요청,,Q,,밥 좀 주세요,,,,,,,
고객,여기 밥 좀 주시겠어요?,A,음식점,홀서빙음식점,1,236,밥요청,,Q,,여기 밥 좀 주시겠어요?,,,,,,,
고객,우리 공깃밥 하나 주세요,A,음식점,홀서빙음식점,1,237,밥요청,,Q,,우리 공깃밥 하나 주세요,,,,,,,
고객,주문 들어갔죠?,A,음식점,홀서빙음식점,1,238,식사주문확인,,Q,,주문 들어갔죠?,,,,,,,
고객,제가 주문한 거 들어갔나요?,A,음식점,홀서빙음식점,1,239,식사주문확인,,Q,,제가 주문한 거 들어갔나요?,,,,,,,
고객,주문한 거 접수 됐죠?,A,음식점,홀서빙음식점,1,240,식사주문확인,,Q,,주문한 거 접수 됐죠?,,,,,,,
고객,우리 총 5인분 주문한 거 아시죠?,A,음식점,홀서빙음식점,1,241,식사주문확인,,Q,,우리 총 5인분 주문한 거 아시죠?,,,,,,,
고객,모임도 많이 하는가봐요?,A,음식점,홀서빙음식점,1,242,모임고객문의,,Q,,모임도 많이 하는가봐요?,,,,,,,
고객,모임하러 많이 오네요?,A,음식점,홀서빙음식점,1,243,모임고객문의,,Q,,모임하러 많이 오네요?,,,,,,,
고객,여기에서 모임도 가능한가요?,A,음식점,홀서빙음식점,1,244,모임고객문의,,Q,,여기에서 모임도 가능한가요?,,,,,,,
고객,여기에서 모임도 할 수 있나요?,A,음식점,홀서빙음식점,1,245,모임고객문의,,Q,,여기에서 모임도 할 수 있나요?,,,,,,,
고객,학교가 옆이라 엄마들 모임하러 많이들 오나요?,A,음식점,홀서빙음식점,1,#전화번호#,모임고객문의,,Q,,학교가 옆이라 엄마들 모임하러 많이들 오나요?,,,,,,,
고객,버너에 불 좀 켜주실래요?,A,음식점,홀서빙음식점,1,247,버너점화요청,,Q,,버너에 불 좀 켜주실래요?,,,,,,,
고객,버너에 불을 좀 켜야 될 것 같은데요?,A,음식점,홀서빙음식점,1,248,버너점화요청,,Q,,버너에 불을 좀 켜야 될 것 같은데요?,,,,,,,
고객,버너에 불이 꺼졌는데 다시 좀 켜주세요,A,음식점,홀서빙음식점,1,249,버너점화요청,,Q,,버너에 불이 꺼졌는데 다시 좀 켜주세요,,,,,,,
고객,버너에 불이 안 켜졌어요,A,음식점,홀서빙음식점,1,250,버너점화요청,,Q,,버너에 불이 안 켜졌어요,,,,,,,
고객,버너가 자꾸 꺼지고 잘 안켜지네요 봐주세요,A,음식점,홀서빙음식점,1,251,버너점화요청,,Q,,버너가 자꾸 꺼지고 잘 안켜지네요 봐주세요,,,,,,,
고객,이거 저희가 주문한 거 아닌데요,A,음식점,홀서빙음식점,1,252,주문과다른메뉴가전달된상황,,Q,,이거 저희가 주문한 거 아닌데요,,,,,,,
고객,저희가 주문한 게 아닌 거 같은데요?,A,음식점,홀서빙음식점,1,253,주문과다른메뉴가전달된상황,,Q,,저희가 주문한 게 아닌 거 같은데요?,,,,,,,
고객,이건 우리가 시킨 게 아니에요,A,음식점,홀서빙음식점,1,254,주문과다른메뉴가전달된상황,,Q,,이건 우리가 시킨 게 아니에요,,,,,,,
고객,메뉴가 잘 못 나온 거 같은데요?,A,음식점,홀서빙음식점,1,255,주문과다른메뉴가전달된상황,,Q,,메뉴가 잘 못 나온 거 같은데요?,,,,,,,
고객,우린 맑은탕 시켰는데 왜 매운탕이 나왔어요?,A,음식점,홀서빙음식점,1,256,주문과다른메뉴가전달된상황,,Q,,우린 맑은탕 시켰는데 왜 매운탕이 나왔어요?,,,,,,,
고객,블라인드 좀 내려도 될까요?,A,음식점,홀서빙음식점,1,257,채광조절요청,,Q,,블라인드 좀 내려도 될까요?,,,,,,,
고객,블라인드 조금만 올려주세요,A,음식점,홀서빙음식점,1,258,채광조절요청,,Q,,블라인드 조금만 올려주세요,,,,,,,
고객,블라인드 좀 올려도 될까요?,A,음식점,홀서빙음식점,1,259,채광조절요청,,Q,,블라인드 좀 올려도 될까요?,,,,,,,
고객,햇볕 때문에 눈이 부셔서 그러는데요 블라인드 조절 좀 부탁드려요,A,음식점,홀서빙음식점,1,260,채광조절요청,,Q,,햇볕 때문에 눈이 부셔서 그러는데요 블라인드 조절 좀 부탁드려요,,,,,,,
고객,너무 어둡네요. 커튼 좀 젖혀주세요,A,음식점,홀서빙음식점,1,261,채광조절요청,,Q,,너무 어둡네요. 커튼 좀 젖혀주세요,,,,,,,
고객,불 짬뽕은 이번에 새로 나온거에요?,A,음식점,홀서빙음식점,1,262,신메뉴문의,,Q,,불 짬뽕은 이번에 새로 나온거에요?,,,,,,,
고객,새로 나온 메뉴는 없어요?,A,음식점,홀서빙음식점,1,263,신메뉴문의,,Q,,새로 나온 메뉴는 없어요?,,,,,,,
고객,새로 나온 메뉴가 이거예요?,A,음식점,홀서빙음식점,1,264,신메뉴문의,,Q,,새로 나온 메뉴가 이거예요?,,,,,,,
고객,신메뉴 나온 거 있던데요?,A,음식점,홀서빙음식점,1,265,신메뉴문의,,Q,,신메뉴 나온 거 있던데요?,,,,,,,
고객,요새 새로 광고하는 메뉴가 이거예요?,A,음식점,홀서빙음식점,1,266,신메뉴문의,,Q,,요새 새로 광고하는 메뉴가 이거예요?,,,,,,,
고객,뷔페만 이용 할 수 있나요?,A,음식점,홀서빙음식점,1,267,뷔페이용문의,,Q,,뷔페만 이용 할 수 있나요?,,,,,,,
고객,뷔페에 나오는 저 대게 무제한인가요?,A,음식점,홀서빙음식점,1,268,뷔페이용문의,,Q,,뷔페에 나오는 저 대게 무제한인가요?,,,,,,,
고객,백반 2인분 배달해주세요,A,음식점,홀서빙음식점,1,269,배달주문,,Q,,백반 2인분 배달해주세요,,,,,,,
고객,A 세트 하나 배달해주세요,A,음식점,홀서빙음식점,1,270,배달주문,,Q,,A 세트 하나 배달해주세요,,,,,,,
고객,돌솥비빔밥 4개 배달해주시겠어요?,A,음식점,홀서빙음식점,1,271,배달주문,,Q,,돌솥비빔밥 4개 배달해주시겠어요?,,,,,,,
고객,여기 1층 부동산으로 김치찌개 1인분 배달 부탁드려요,A,음식점,홀서빙음식점,1,272,배달주문,,Q,,여기 1층 부동산으로 김치찌개 1인분 배달 부탁드려요,,,,,,,
고객,여기 길건너 미용실인데 제육볶음하고 김밥 3줄 부탁해요,A,음식점,홀서빙음식점,1,273,배달주문,,Q,,여기 길건너 미용실인데 제육볶음하고 김밥 3줄 부탁해요,,,,,,,
고객,배달을 전문적으로 하시나 봐요?,A,음식점,홀서빙음식점,1,274,배달음식점여부문의,,Q,,배달을 전문적으로 하시나 봐요?,,,,,,,
고객,여기는 배달 전문인 건가요?,A,음식점,홀서빙음식점,1,275,배달음식점여부문의,,Q,,여기는 배달 전문인 건가요?,,,,,,,
고객,홀보다 배달을 더 많이 하시나 봐요?,A,음식점,홀서빙음식점,1,276,배달음식점여부문의,,Q,,홀보다 배달을 더 많이 하시나 봐요?,,,,,,,
고객,홀에서 먹는 사람보다 배달 주문이 더 많은 것 같네요?,A,음식점,홀서빙음식점,1,277,배달음식점여부문의,,Q,,홀에서 먹는 사람보다 배달 주문이 더 많은 것 같네요?,,,,,,,
고객,이 집은 배달을 주로 하나요?,A,음식점,홀서빙음식점,1,278,배달음식점여부문의,,Q,,이 집은 배달을 주로 하나요?,,,,,,,
고객,간이영수증으로 하나 주세요,A,음식점,홀서빙음식점,1,279,간이영수증요청,,Q,,간이영수증으로 하나 주세요,,,,,,,
고객,영수증은 간이영수증으로 주세요,A,음식점,홀서빙음식점,1,280,간이영수증요청,,Q,,영수증은 간이영수증으로 주세요,,,,,,,
고객,간이영수증으로 주실 수 있죠?,A,음식점,홀서빙음식점,1,281,간이영수증요청,,Q,,간이영수증으로 주실 수 있죠?,,,,,,,
고객,간이영수증에 써주시겠어요?,A,음식점,홀서빙음식점,1,282,간이영수증요청,,Q,,간이영수증에 써주시겠어요?,,,,,,,
고객,간이영수증이 필요한데요?,A,음식점,홀서빙음식점,1,283,간이영수증요청,,Q,,간이영수증이 필요한데요?,,,,,,,
고객,몇 % 적립되나요?,A,음식점,홀서빙음식점,1,284,적립금액/적립률문의,,Q,,몇 % 적립되나요?,,,,,,,
고객,적립은 10% 정도 되나요?,A,음식점,홀서빙음식점,1,285,적립금액/적립률문의,,Q,,적립은 10% 정도 되나요?,,,,,,,
고객,지금 얼마 적립된 거예요?,A,음식점,홀서빙음식점,1,286,적립금액/적립률문의,,Q,,지금 얼마 적립된 거예요?,,,,,,,
고객,얼마나 적립됐어요?,A,음식점,홀서빙음식점,1,287,적립금액/적립률문의,,Q,,얼마나 적립됐어요?,,,,,,,
고객,제꺼 적립 많이 쌓여졌죠?,A,음식점,홀서빙음식점,1,288,적립금액/적립률문의,,Q,,제꺼 적립 많이 쌓여졌죠?,,,,,,,
고객,가게 이름이 저게 무슨 뜻인 거예요?,A,음식점,홀서빙음식점,1,289,매장명뜻문의,,Q,,가게 이름이 저게 무슨 뜻인 거예요?,,,,,,,
고객,가게 이름이 일본어 맞죠? 무슨 뜻이에요?,A,음식점,홀서빙음식점,1,290,매장명뜻문의,,Q,,가게 이름이 일본어 맞죠? 무슨 뜻이에요?,,,,,,,
고객,가게 이름은 무슨 뜻으로 지으신 거예요?,A,음식점,홀서빙음식점,1,291,매장명뜻문의,,Q,,가게 이름은 무슨 뜻으로 지으신 거예요?,,,,,,,
